,file_path,image_size,faces_num,face_size,batch,iter,engine,status
0,anger/0.jpg,183,1,170,0,0,0,ok
1,anger/06666.jpg,489,1,444,0,0,0,ok
2,anger/1.jpg,749,1,749,0,0,0,ok
3,anger/10.jpg,261,1,228,0,0,0,ok
4,anger/100.jpg,234,1,201,0,0,0,ok
5,anger/1000.jpg,299,1,278,0,0,0,ok
6,anger/1001.jpg,249,1,208,0,0,0,ok
7,anger/1002.jpg,617,1,527,0,0,0,ok
8,anger/1003.jpg,383,1,323,0,0,0,ok
9,anger/1004.jpg,194,1,149,0,0,0,ok
10,anger/1005.jpg,252,1,250,0,0,0,ok
11,anger/1006.jpg,853,1,853,0,0,0,ok
12,anger/1007.jpg,1796,1,1341,0,0,0,ok
13,anger/1008.jpg,188,1,149,0,0,0,ok
14,anger/1009.jpg,412,1,372,0,0,0,ok
15,anger/101.jpg,246,1,221,0,0,0,ok
16,anger/1010.jpg,194,1,154,0,0,0,ok
17,anger/1011.jpg,993,1,824,0,0,0,ok
18,anger/1012.jpg,717,1,647,0,0,0,ok
19,anger/1013.jpg,296,1,249,0,0,0,ok
20,anger/1014.jpg,1444,1,1222,0,0,0,ok
21,anger/1015.jpg,188,1,134,0,0,0,ok
22,anger/1016.jpg,349,1,295,0,0,0,ok
23,anger/1017.jpg,733,1,579,0,0,0,ok
24,anger/1018.jpg,503,1,468,0,0,0,ok
25,anger/1019.jpg,182,1,150,0,0,0,ok
26,anger/102.jpg,879,1,780,0,0,0,ok
27,anger/1020.jpg,400,1,338,0,0,0,ok
28,anger/1021.jpg,248,1,244,0,0,0,ok
29,anger/1022.jpg,314,1,271,0,0,0,ok
30,anger/1023.jpg,836,1,736,0,0,0,ok
31,anger/1024.jpg,405,1,316,0,0,0,ok
32,anger/1025.jpg,292,1,265,0,0,0,ok
33,anger/1026.jpg,430,1,351,0,0,0,ok
34,anger/1027.jpg,524,1,524,0,0,0,ok
35,anger/1028.jpg,1076,1,891,0,0,0,ok
36,anger/1029.jpg,237,1,227,0,0,0,ok
37,anger/103.jpg,233,1,233,0,0,0,ok
38,anger/1030.jpg,373,1,373,0,0,0,ok
39,anger/1031.jpg,387,1,345,0,0,0,ok
40,anger/1032.jpg,841,1,696,0,0,0,ok
41,anger/1033.jpg,919,1,692,0,0,0,ok
42,anger/1034.jpg,339,1,291,0,0,0,ok
43,anger/1035.jpg,184,0,0,0,0,0,ok
44,anger/1036.jpg,194,1,152,0,0,0,ok
45,anger/1037.jpg,524,1,482,0,0,0,ok
46,anger/1038.jpg,186,1,135,0,0,0,ok
47,anger/1039.jpg,307,1,307,0,0,0,ok
48,anger/104.jpg,653,1,613,0,0,0,ok
49,anger/1040.jpg,201,1,184,0,0,0,ok
50,anger/1041.jpg,413,1,338,0,0,0,ok
51,anger/1042.jpg,182,1,118,0,0,0,ok
52,anger/1043.jpg,687,1,687,0,0,0,ok
53,anger/1044.jpg,297,1,297,0,0,0,ok
54,anger/1045.jpg,412,1,401,0,0,0,ok
55,anger/1046.jpg,338,1,309,0,0,0,ok
56,anger/1047.jpg,262,1,234,0,0,0,ok
57,anger/1048.jpg,1321,1,1056,0,0,0,ok
58,anger/1049.jpg,613,1,539,0,0,0,ok
59,anger/105.jpg,373,1,308,0,0,0,ok
60,anger/1050.jpg,516,1,426,0,0,0,ok
61,anger/1051.jpg,1583,1,1294,0,0,0,ok
62,anger/1052.jpg,286,1,272,0,0,0,ok
63,anger/1053.jpg,515,1,503,0,0,0,ok
64,anger/1054.jpg,1095,1,1087,0,0,0,ok
65,anger/1055.jpg,733,1,571,0,0,0,ok
66,anger/1056.jpg,287,1,214,0,0,0,ok
67,anger/1057.jpg,268,1,261,0,0,0,ok
68,anger/1058.jpg,777,1,685,0,0,0,ok
69,anger/1059.jpg,902,1,688,0,0,0,ok
70,anger/106.jpg,312,1,232,0,0,0,ok
71,anger/1060.jpg,282,1,282,0,0,0,ok
72,anger/1061.jpg,1544,1,1205,0,0,0,ok
73,anger/1062.jpg,1329,1,1025,0,0,0,ok
74,anger/1063.jpg,497,1,465,0,0,0,ok
75,anger/1064.jpg,1935,1,1642,0,0,0,ok
76,anger/1065.jpg,262,1,210,0,0,0,ok
77,anger/1066.jpg,472,1,440,0,0,0,ok
78,anger/1067.jpg,217,1,171,0,0,0,ok
79,anger/1068.jpg,304,1,276,0,0,0,ok
80,anger/1069.jpg,182,1,182,0,0,0,ok
81,anger/107.jpg,494,1,494,0,0,0,ok
82,anger/1070.jpg,364,1,308,0,0,0,ok
83,anger/1071.jpg,183,0,0,0,0,0,ok
84,anger/1072.jpg,1292,1,1184,0,0,0,ok
85,anger/1073.jpg,343,1,288,0,0,0,ok
86,anger/1074.jpg,349,1,320,0,0,0,ok
87,anger/1075.jpg,494,1,448,0,0,0,ok
88,anger/1076.jpg,200,1,176,0,0,0,ok
89,anger/1077.jpg,228,1,184,0,0,0,ok
90,anger/1078.jpg,248,1,230,0,0,0,ok
91,anger/1079.jpg,249,1,203,0,0,0,ok
92,anger/108.jpg,1167,1,1163,0,0,0,ok
93,anger/1080.jpg,188,1,188,0,0,0,ok
94,anger/1081.jpg,610,1,542,0,0,0,ok
95,anger/1082.jpg,300,1,289,0,0,0,ok
96,anger/1083.jpg,173,1,163,0,0,0,ok
97,anger/1084.jpg,668,1,626,0,0,0,ok
98,anger/1085.jpg,292,1,252,0,0,0,ok
99,anger/1086.jpg,817,1,650,0,0,0,ok
100,anger/1087.jpg,211,1,174,0,0,0,ok
101,anger/1088.jpg,347,1,292,0,0,0,ok
102,anger/1089.jpg,588,1,588,0,0,0,ok
103,anger/109.jpg,294,1,281,0,0,0,ok
104,anger/1090.jpg,384,1,352,0,0,0,ok
105,anger/1091.jpg,149,1,148,0,0,0,ok
106,anger/1092.jpg,457,1,419,0,0,0,ok
107,anger/1093.jpg,859,1,772,0,0,0,ok
108,anger/1094.jpg,832,1,719,0,0,0,ok
109,anger/1095.jpg,1759,1,1711,0,0,0,ok
110,anger/1096.jpg,1002,1,840,0,0,0,ok
111,anger/1097.jpg,300,1,268,0,0,0,ok
112,anger/1098.jpg,313,1,303,0,0,0,ok
113,anger/1099.jpg,249,1,208,0,0,0,ok
114,anger/11.jpg,350,1,281,0,0,0,ok
115,anger/110.jpg,169,1,133,0,0,0,ok
116,anger/1100.jpg,348,1,348,0,0,0,ok
117,anger/1101.jpg,869,1,767,0,0,0,ok
118,anger/1102.jpg,287,1,242,0,0,0,ok
119,anger/1103.jpg,460,1,414,0,0,0,ok
120,anger/1104.jpg,800,1,663,0,0,0,ok
121,anger/1105.jpg,2250,1,1818,0,0,0,ok
122,anger/1106.jpg,264,1,234,0,0,0,ok
123,anger/1107.jpg,228,1,228,0,0,0,ok
124,anger/1108.jpg,233,1,226,0,0,0,ok
125,anger/1109.jpg,181,1,132,1,0,1,ok
126,anger/111.jpg,217,1,186,1,0,1,ok
127,anger/1110.jpg,2107,1,1740,1,0,1,ok
128,anger/1111.jpg,526,1,398,1,0,1,ok
129,anger/1112.jpg,603,1,545,1,0,1,ok
130,anger/1113.jpg,260,1,204,1,0,1,ok
131,anger/1114.jpg,214,1,170,1,0,1,ok
132,anger/1115.jpg,702,1,653,1,0,1,ok
133,anger/1116.jpg,457,1,406,1,0,1,ok
134,anger/1117.jpg,425,1,425,1,0,1,ok
135,anger/1118.jpg,349,1,292,1,0,1,ok
136,anger/1119.jpg,256,1,247,1,0,1,ok
137,anger/112.jpg,260,1,220,1,0,1,ok
138,anger/1120.jpg,481,1,374,1,0,1,ok
139,anger/1121.jpg,360,1,338,1,0,1,ok
140,anger/1122.jpg,357,1,324,1,0,1,ok
141,anger/1123.jpg,183,1,153,1,0,1,ok
142,anger/1124.jpg,412,1,376,1,0,1,ok
143,anger/1125.jpg,404,1,315,1,0,1,ok
144,anger/1126.jpg,192,1,192,1,0,1,ok
145,anger/1127.jpg,843,1,798,1,0,1,ok
146,anger/1128.jpg,632,1,632,1,0,1,ok
147,anger/1129.jpg,1059,1,944,1,0,1,ok
148,anger/113.jpg,659,1,620,1,0,1,ok
149,anger/1130.jpg,205,1,174,1,0,1,ok
150,anger/1131.jpg,215,1,199,1,0,1,ok
151,anger/1132.jpg,2181,1,1732,1,0,1,ok
152,anger/1133.jpg,307,1,300,1,0,1,ok
153,anger/1134.jpg,170,1,125,1,0,1,ok
154,anger/1135.jpg,195,1,195,1,0,1,ok
155,anger/1136.jpg,473,1,469,1,0,1,ok
156,anger/1137.jpg,650,1,535,1,0,1,ok
157,anger/1138.jpg,659,1,537,1,0,1,ok
158,anger/1139.jpg,188,1,147,1,0,1,ok
159,anger/114.jpg,1753,1,1414,1,0,1,ok
160,anger/1140.jpg,295,1,295,1,0,1,ok
161,anger/1141.jpg,644,1,550,1,0,1,ok
162,anger/1142.jpg,551,1,450,1,0,1,ok
163,anger/1143.jpg,570,1,483,1,0,1,ok
164,anger/1144.jpg,187,1,165,1,0,1,ok
165,anger/1145.jpg,613,1,561,1,0,1,ok
166,anger/1146.jpg,517,1,398,1,0,1,ok
167,anger/1147.jpg,413,1,338,1,0,1,ok
168,anger/1148.jpg,898,1,812,1,0,1,ok
169,anger/1149.jpg,305,1,296,1,0,1,ok
170,anger/115.jpg,614,1,490,1,0,1,ok
171,anger/1150.jpg,204,1,152,1,0,1,ok
172,anger/1151.jpg,443,1,368,1,0,1,ok
173,anger/1152.jpg,193,1,150,1,0,1,ok
174,anger/1153.jpg,892,1,892,1,0,1,ok
